127.0.0.1 - - [14/Jul/2015:21:54:40 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/resources/images/excel.png?pfdrid_c=true HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:42 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_bbbbbb_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:43 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_aaaaaa_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:43 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_cccccc_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:43 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_666666_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:43 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_55_555555_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:43 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:43 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
